property_name,property_type,address,city,county,state,zip,phone,email,website_url,management_company,management_company_phone,housing_authority_or_agency,source_urls,source_quality,bedroom_sizes,unit_count,population_served,program_type,rent_type,exact_published_rent_by_bedroom,exact_published_rent_by_income_bracket,income_limits_by_household_size,AMI_brackets_supported,application_fee,deposit,utilities_included,pet_policy,criminal_background_policy,credit_policy,eviction_policy,minimum_income_requirement,maximum_income_requirement,required_documents,application_method,application_url,waitlist_status,vacancy_status,last_updated_date_from_source,vacancy_likelihood_score,vacancy_likelihood_reason,phone_verification_needed,notes,confidence_score,distance_miles_to_target_area
Pendry Villas,Unknown,1303 2400 Kurt St,Eustis,Lake County,FL,,(352) 357-3434,,,,,,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12; https://eustischamber.org/AboutEustis/housing.asp,HUD/USDA/FHFC,"4 bedroom, 4 bedrooms, 2 bedrooms, 3 bedrooms",47,senior,Unknown,unknown,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,Published pet-related language found; property verification recommended.,NOT FOUND / NEEDS CALL,Published credit-related language found; property verification recommended.,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,call_required,call_required,,2,No reliable online vacancy evidence located; property verification is required.,True,Pendry Villas | Eustis,84,
Wildwood Commons,Unknown,1000 Lee St,Wildwood,Sumter County,FL,34785,(352) 748-0047,,https://www.mapquest.com/us/florida/wildwood-commons-apartments-277251531,,,Sumter County Housing,https://www.sumtercountyfl.gov/246/Rental-Assistance-Resources; https://www.sumtercountyfl.gov/DocumentCenter/View/29964/Sumter-County-Multifamily-Analysis-Final-Version-06202018; https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=119&st=12; https://sumtercountyfl.gov/246/Rental-Assistance-Resources; https://www.mapquest.com/us/florida/wildwood-commons-apartments-277251531,government,,,,Unknown affordable rental,fixed affordable rent,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,call_required,call_required,,2,No reliable online vacancy evidence located; property verification is required.,True,Listed by Sumter County as rental assistance provider and in county multifamily inventory. | Wildwood Commonsltd | Wildwood | Wildwood Commonsltd | Wildwood | Wildwood Commonsltd | Wildwood | Wildwood Commonsltd | Wildwood | Wildwood Commonsltd | Wildwood | Wildwood Commons - 352-748-0047,83,0.0
Panasoffkee Senior Apartments,Senior 62+,910 CR 482N,Lake Panasoffkee,Sumter County,FL,33538,(352) 793-2288,,,,,Sumter County Housing,https://www.sumtercountyfl.gov/246/Rental-Assistance-Resources; https://www.sumtercountyfl.gov/DocumentCenter/View/29964/Sumter-County-Multifamily-Analysis-Final-Version-06202018,government,,,,Unknown affordable rental,fixed affordable rent,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,call_required,call_required,,2,No reliable online vacancy evidence located; property verification is required.,True,County multifamily inventory indicates senior-focused property at same site as family apartments.,61,0.0
Wildwood Townhomes,Unknown,301 E Gulf Atlantic Hwy,Wildwood,Sumter County,FL,34785,(352) 748-5677,,,,,Sumter County Housing,https://www.sumtercountyfl.gov/246/Rental-Assistance-Resources; https://www.sumtercountyfl.gov/DocumentCenter/View/29964/Sumter-County-Multifamily-Analysis-Final-Version-06202018; https://sumtercountyfl.gov/246/Rental-Assistance-Resources,government,,,,Unknown affordable rental,fixed affordable rent,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,call_required,call_required,,2,No reliable online vacancy evidence located; property verification is required.,True,Listed by Sumter County as rental assistance provider and in county multifamily inventory. | Wildwood Townhomes - 352-748-5677,61,0.0
Bushnell Gardens II,Unknown,1000 Meadows Cir,Bushnell,Sumter County,FL,33513,(352) 793-4838,,,,,Sumter County Housing,https://www.sumtercountyfl.gov/DocumentCenter/View/29964/Sumter-County-Multifamily-Analysis-Final-Version-06202018,government,,,,Unknown affordable rental,fixed affordable rent,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,call_required,call_required,,2,No reliable online vacancy evidence located; property verification is required.,True,County multifamily inventory lead; verify with property directly.,53,5.7
Lake Sumter Reserve Apartment Homes,Mixed Affordable,10840 NE 89th Drive,Lady Lake,Sumter County,FL,32162,,,,,,Sumter County Housing,https://www.sumtercountyfl.gov/AgendaCenter/ViewFile/Item/23512?fileID=57591,government,,,,SHIP / FHFC funded affordable rental,fixed affordable rent,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,call_required,call_required,,2,No reliable online vacancy evidence located; property verification is required.,True,County SHIP agenda references FHFC and SHIP funding for this apartment community.,53,0.0
Austin Commons,Unknown,NOT FOUND / NEEDS CALL,Eustis,Lake County,FL,,,,,,,,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12,HUD/USDA/FHFC,,,,Unknown,unknown,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,call_required,call_required,,2,No reliable online vacancy evidence located; property verification is required.,True,Austin Commons | Eustis,46,
Windemere Villas,Unknown,1416 Griffin Rd,Leesburg,Lake County,FL,,(352) 728-5444,windemere@flynnmanagement.com,https://windemerevillas.com,"Flynn Management Corporation, Licensed Real Estate Broker Website Maintained By Stryker Consulting",,,https://windemerevillas.com; https://windemerevillas.com/apartments/; https://windemerevillas.com/,unknown,2 Bedroom,,senior,Unknown,unknown,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,call_required,call_required,,2,No reliable online vacancy evidence located; property verification is required.,True,"Windemere Villas | A 55+ Community in Leesburg, Florida | Leesburg, Florida 55+ Community Windemere Villas | Leesburg, Florida (352) 728-5444 Navigation Home Apartments One Bedroom Apartment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Home Apartments One Bedroom Apartment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Windemere Villas in Leesburg, Florida Save $$$ Over Living in The Villages A Private, Relaxing 55+ Apartment Community Designed to Fit Your Lifestyle Windemere Villas, a 55+ apartment community, offers one bedroom and two bedroom apartments. Each residence featur | sburg, Florida | Leesburg, Florida 55+ Community Windemere Villas | Leesburg, Florida (352) 728-5444 Navigation Home Apartments One Bedroom Apartment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Home Apartments One Bedroom Apartment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Windemere Villas in Leesburg, Florida Save $ | artment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Home Apartments One Bedroom Apartment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Windemere Villas in Leesburg, Florida Save $$$ Over Living in The Villages A Private, Relaxing 55+ Apartment Community Designed to Fit Your Lifestyle Windemere Villas, a 55+ apartment co | away to avoid noise and congestion. Windemere Villas 1416 Griffin Rd. Leesburg, FL 34748 Office: (352) 728-5444 Fax: (352) 728-0970 windemere@flynnmanagement.com Office Hours: Monday-Friday 8:30am to 5pm Schedule a Tour Applications Apartments Take a Tour Contact Us Living in Windemere Villas Windemere Villas is ideal for active seniors over 55 years of age. Conveniently located between Spanish Springs and Brownwood in The Villages. Ame | 5444 Fax: (352) 728-0970 windemere@flynnmanagement.com www.windemerevillas.com Equal Housing Opportunity • Information is believed to be accurate but is not guaranteed or warranted. Home Apartments Amenities Take a Tour Application Directions Contact Us © 2026 Windemere Villas | All Rights Reserved | Leesburg, Florida | Privacy Policy All properties are professionally managed by Flynn Management Corporation, Licensed Real Estate Broker | senior | Windemere Villas | A 55+ Community in Leesburg, Florida | Leesburg, Florida 55+ Community Windemere Villas | Leesburg, Florida (352) 728-5444 Navigation Home Apartments One Bedroom Apartment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Home Apartments One Bedroom Apartment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Windemere Villas in Leesburg, Florida Save $$$ Over Living in The Villages A Private, Relaxing 55+ Apartment Community Designed to Fit Your Lifestyle Windemere Villas, a 55+ apartment community, offers one bedroom and two bedroom apartments. Each residence featur | sburg, Florida | Leesburg, Florida 55+ Community Windemere Villas | Leesburg, Florida (352) 728-5444 Navigation Home Apartments One Bedroom Apartment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Home Apartments One Bedroom Apartment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Windemere Villas in Leesburg, Florida Save $ | artment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Home Apartments One Bedroom Apartment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Windemere Villas in Leesburg, Florida Save $$$ Over Living in The Villages A Private, Relaxing 55+ Apartment Community Designed to Fit Your Lifestyle Windemere Villas, a 55+ apartment co | away to avoid noise and congestion. Windemere Villas 1416 Griffin Rd. Leesburg, FL 34748 Office: (352) 728-5444 Fax: (352) 728-0970 windemere@flynnmanagement.com Office Hours: Monday-Friday 8:30am to 5pm Schedule a Tour Applications Apartments Take a Tour Contact Us Living in Windemere Villas Windemere Villas is ideal for active seniors over 55 years of age. Conveniently located between Spanish Springs and Brownwood in The Villages. Ame | 5444 Fax: (352) 728-0970 windemere@flynnmanagement.com www.windemerevillas.com Equal Housing Opportunity • Information is believed to be accurate but is not guaranteed or warranted. Home Apartments Amenities Take a Tour Application Directions Contact Us © 2026 Windemere Villas | All Rights Reserved | Leesburg, Florida | Privacy Policy All properties are professionally managed by Flynn Management Corporation, Licensed Real Estate Broker | senior | Windemere Villas | A 55+ Community in Leesburg, Florida | Leesburg, Florida 55+ Community Windemere Villas | Leesburg, Florida (352) 728-5444 Navigation Home Apartments One Bedroom Apartment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Home Apartments One Bedroom Apartment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Windemere Villas in Leesburg, Florida Save $$$ Over Living in The Villages A Private, Relaxing 55+ Apartment Community Designed to Fit Your Lifestyle Windemere Villas, a 55+ apartment community, offers one bedroom and two bedroom apartments. Each residence featur | sburg, Florida | Leesburg, Florida 55+ Community Windemere Villas | Leesburg, Florida (352) 728-5444 Navigation Home Apartments One Bedroom Apartment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Home Apartments One Bedroom Apartment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Windemere Villas in Leesburg, Florida Save $ | artment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Home Apartments One Bedroom Apartment Two Bedroom Apartment Amenities Take a Tour Photo Gallery Floor Plans Application Directions Contact Us Windemere Villas in Leesburg, Florida Save $$$ Over Living in The Villages A Private, Relaxing 55+ Apartment Community Designed to Fit Your Lifestyle Windemere Villas, a 55+ apartment co | away to avoid noise and congestion. Windemere Villas 1416 Griffin Rd. Leesburg, FL 34748 Office: (352) 728-5444 Fax: (352) 728-0970 windemere@flynnmanagement.com Office Hours: Monday-Friday 8:30am to 5pm Schedule a Tour Applications Apartments Take a Tour Contact Us Living in Windemere Villas Windemere Villas is ideal for active seniors over 55 years of age. Conveniently located between Spanish Springs and Brownwood in The Villages. Ame | 5444 Fax: (352) 728-0970 windemere@flynnmanagement.com www.windemerevillas.com Equal Housing Opportunity • Information is believed to be accurate but is not guaranteed or warranted. Home Apartments Amenities Take a Tour Application Directions Contact Us © 2026 Windemere Villas | All Rights Reserved | Leesburg, Florida | Privacy Policy All properties are professionally managed by Flynn Management Corporation, Licensed Real Estate Broker | senior",23,0.0
Tall Pines Villas,Unknown,1000 Wall Street Suite 60,Eustis,Lake County,FL,,352.357.4851,program.intake@usda.gov,https://affordablehousingonline.com/housing-search/Florida/Eustis/Tall-Pines-Villas/10103280,"Dimension One Management, Inc This institution is an equal opportunity provider",,,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12; https://www.eustishousingauthority.com/our-communities/tall-pines-villas; http://tallpinesvillas.com/; https://affordablehousingonline.com/housing-search/Florida/Eustis/Tall-Pines-Villas/10103280; https://apartmenthomesflorida.com/rental_place/tall-pines-villas/; https://www.eustishousingauthority.com/,HUD/USDA/FHFC,,56,senior,Unknown,unknown,$705 - $758,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,$705,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,unknown,unknown,"June 19, 2026",1,"Listing exists, but availability information is stale or unclear.",True,Tall Pines Villas | Eustis,94,
Villas Of Mt. Dora,Unknown,3001 Javens Circle,Mount Dora,Lake County,FL,,(352) 383-0466,,https://affordablehousingonline.com/housing-search/Florida/Mount-Dora/Villas-of-Mt.-Dora/67546,s Are you the manager of Villas of Mt,,,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12; https://www.seniorlivingguide.com/communities/villas-of-mt-dora-3001-javens-circle-mount-dora-fl-32757/; https://affordablehousingonline.com/housing-search/Florida/Mount-Dora/Villas-of-Mt.-Dora/67546; https://www.mapquest.com/us/florida/villas-of-mount-dora-4194392; https://affordablehousingonline.com/housing-search/Florida/Mount-Dora,HUD/USDA/FHFC,2 Beds,,senior,Unknown,unknown,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,unknown,unknown,,1,"Listing exists, but availability information is stale or unclear.",True,Villas Of Mt. Dora | Mount Dora,84,
Bushnell Garden Apartments,Unknown,200 Jumper St S,Bushnell,Sumter County,FL,33513,(352) 793-4838,LowIncomeSupport@gmail.com,https://affordablehousingonline.com/housing-search/Florida/Bushnell/Bushnell-Garden-Apartments/10000207,"manges Bushnell Garden Apartments? Bushnell Garden Apartments is managed by Hale Management Group headquartered in Gainesville, Florida",,Sumter County Housing,https://www.sumtercountyfl.gov/246/Rental-Assistance-Resources; https://www.sumtercountyfl.gov/DocumentCenter/View/29964/Sumter-County-Multifamily-Analysis-Final-Version-06202018; https://sumtercountyfl.gov/246/Rental-Assistance-Resources; https://affordablehousingonline.com/housing-search/Florida/Bushnell/Bushnell-Garden-Apartments/10000207; https://www.lowincomehousing.us/FL/bushnell.html,government,3 Beds,,senior,Unknown affordable rental,fixed affordable rent,$600; $811; $700; $917; $775; $999,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,Published pet-related language found; property verification recommended.,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,unknown,unknown,,1,"Listing exists, but availability information is stale or unclear.",True,Outside primary city list but near the target areas and listed by Sumter County as rental assistance provider. | Bushnell Garden Apartments - 352-793-4838,65,5.7
Fruitland Acres LTD,USDA RD,303 Urick St,Fruitland Park,Lake County,FL,,(352) 323-3303,,https://affordablehousingonline.com/housing-search/Florida/Fruitland-Park/Fruitland-Acres-Ltd/10026305,private/corporate owners or nonprofits,,,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12; https://affordablehousingonline.com/housing-search/Florida/Fruitland-Park/Fruitland-Acres-Ltd/10026305; https://affordablehousingonline.com/housing-search/Florida/Fruitland-Park; https://affordablehousingonline.com/housing-search/Florida/Fruitland-Park/Mirror-Lake-Manor/10048622,HUD/USDA/FHFC,2 Bed,,general low-income,USDA RD 515,income-based,NOT FOUND,Likely based on adjusted income; exact tenant rent requires application/property verification.,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,unknown,unknown,,1,"Listing exists, but availability information is stale or unclear.",True,Listed on USDA Rural Development Lake County property list.,62,0.0
Montclair Village,USDA RD,2000 Park Cir,Leesburg,Lake County,FL,,,,https://affordablehousingonline.com/housing-search/Florida/Leesburg/Montclair-Village/10103948,,,,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12; https://affordablehousingonline.com/housing-search/Florida/Leesburg/Montclair-Village/10103948; https://affordablehousingonline.com/housing-search/Florida/Leesburg,HUD/USDA/FHFC,2 Bed,,senior,USDA RD 515,income-based,NOT FOUND,Likely based on adjusted income; exact tenant rent requires application/property verification.,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,unknown,unknown,,1,"Listing exists, but availability information is stale or unclear.",True,Listed on USDA Rural Development Lake County property list.,62,0.0
Palm Brook Apts LTD,USDA RD,37 Brook Cir,Leesburg,Lake County,FL,,,,https://affordablehousingonline.com/housing-search/Florida/Leesburg/Palm-Brook-Apts-Ltd/10103487,private/corporate owners or nonprofits,,,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12; https://affordablehousingonline.com/housing-search/Florida/Leesburg/Palm-Brook-Apts-Ltd/10103487; https://affordablehousingonline.com/housing-search/Florida/Leesburg,HUD/USDA/FHFC,2 Bed,,senior,USDA RD 515,income-based,NOT FOUND,Likely based on adjusted income; exact tenant rent requires application/property verification.,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,unknown,unknown,,1,"Listing exists, but availability information is stale or unclear.",True,Listed on USDA Rural Development Lake County property list.,62,0.0
Pepper Tree Apts,USDA RD,2503 South Street,Leesburg,Lake County,FL,,,,https://affordablehousingonline.com/housing-search/Florida/Leesburg/Pepper-Tree-Apts/10103485,private/corporate owners or nonprofits,,,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12; https://affordablehousingonline.com/housing-search/Florida/Leesburg/Pepper-Tree-Apts/10103485; https://affordablehousingonline.com/housing-search/Florida/Leesburg,HUD/USDA/FHFC,2 Bed,,senior,USDA RD 515,income-based,NOT FOUND,Likely based on adjusted income; exact tenant rent requires application/property verification.,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,unknown,unknown,,1,"Listing exists, but availability information is stale or unclear.",True,Listed on USDA Rural Development Lake County property list.,62,0.0
Pepper Tree Apts II,USDA RD,2503 South Street,Leesburg,Lake County,FL,,,,https://affordablehousingonline.com/housing-search/Florida/Leesburg/Pepper-Tree-Apts-II/10104710,private/corporate owners or nonprofits,,,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12; https://affordablehousingonline.com/housing-search/Florida/Leesburg/Pepper-Tree-Apts-II/10104710; https://affordablehousingonline.com/housing-search/Florida/Leesburg,HUD/USDA/FHFC,2 Bed,,senior,USDA RD 515,income-based,NOT FOUND,Likely based on adjusted income; exact tenant rent requires application/property verification.,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,unknown,unknown,,1,"Listing exists, but availability information is stale or unclear.",True,Listed on USDA Rural Development Lake County property list.,62,0.0
